"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w26",2004-06-25,"Premium Petrol 95R","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer margin",14.1084127,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer margin trend",13.7362113707581,"NZD c/L","Final"
"2004w27",2004-07-02,"NA","Dubai crude price",32.19,"USD/bbl","Final"
"2004w27",2004-07-02,"NA","Dubai crude price",50.51,"NZD/bbl","Final"
"2004w27",2004-07-02,"NA","Exchange rate",0.637,"USD/NZD","Final"
"2004w27",2004-07-02,"Diesel","Importer cost",45.8,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Price excluding tax",60.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","ETS",0,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","GST",7.6,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Board price",68.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Adjusted retail price",68.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Importer margin",16.1,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Importer margin trend",18.3606896681896,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Importer cost",47.3,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Price excluding tax",59.8,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","ETS",0,"NZD c/L","Final"
